City,Lat,Lng,Max Temp,Humidity,Clouds,Wind Speed,Country,Date
Kapaa,22.08,-159.32,82.99,74,20,11.41,US,1602815670
Örnsköldsvik,63.29,18.72,35.6,100,1,8.05,SE,1602815886
Namatanai,-3.67,152.43,85.26,67,77,6.53,PG,1602815886
Mar del Plata,-38.0,-57.56,55.99,100,90,6.93,AR,1602815703
East London,-33.02,27.91,63.61,78,11,8.99,ZA,1602815668
Caicó,-6.46,-37.1,72.72,79,13,10.04,BR,1602815887
Bredasdorp,-34.53,20.04,51.8,93,100,4.7,ZA,1602815669
Atuona,-9.8,-139.03,78.73,75,1,19.3,PF,1602815685
Zhigansk,66.77,123.37,23.77,95,99,18.84,RU,1602815782
Ushuaia,-54.8,-68.3,39.2,86,75,5.82,AR,1602815669
Ribeira Grande,38.52,-28.7,69.01,84,69,14.54,PT,1602815690
Nome,64.5,-165.41,39.2,86,90,18.34,US,1602815547
Lebu,-37.62,-73.65,50.56,82,0,11.54,CL,1602815690
Bluff,-46.6,168.33,55.99,58,100,15.01,NZ,1602815688
Richards Bay,-28.78,32.04,71.06,76,34,18.48,ZA,1602815889
Espoo,60.25,24.67,37.99,86,75,5.82,FI,1602815889
Jamestown,42.1,-79.24,46.0,93,90,9.17,US,1602815668
Albany,42.6,-73.97,60.01,62,82,4.65,US,1602815670
Avarua,-21.21,-159.78,73.4,56,76,6.93,CK,1602815669
Xining,36.62,101.77,40.48,61,1,1.77,CN,1602815890
Busselton,-33.65,115.33,70.0,38,45,4.99,AU,1602815692
Tasiilaq,65.61,-37.64,42.8,81,100,13.87,GL,1602815677
Iqaluit,63.75,-68.51,33.8,100,90,2.24,CA,1602815682
Saint Paul Harbor,57.79,-152.41,48.2,45,1,6.93,US,1602815685
Chincholi,17.47,77.43,74.07,85,100,6.38,IN,1602815891
Kavieng,-2.57,150.8,84.29,71,95,9.04,PG,1602815694
Chapais,49.78,-74.85,44.6,93,90,12.75,CA,1602815778
Kashiwazaki,37.37,138.55,64.0,50,19,1.99,JP,1602815891
Konya Province,38.17,32.5,50.0,66,0,0.78,TR,1602815891
Carnarvon,-24.87,113.63,73.4,60,0,23.04,AU,1602815676
George Town,5.41,100.34,80.6,83,40,3.15,MY,1602815570
Bowling Green,36.99,-86.44,53.6,87,90,5.82,US,1602815722
Tazovsky,67.47,78.7,29.93,96,100,14.54,RU,1602815892
Departamento de Maldonado,-34.67,-54.92,59.0,93,70,5.82,UY,1602815892
Victor Harbor,-35.57,138.62,68.0,77,100,4.0,AU,1602815893
Laas,46.62,10.7,44.01,76,5,6.93,IT,1602815719
Punta Arenas,-53.15,-70.92,44.6,70,41,17.22,CL,1602815552
Corn Island,12.17,-83.04,83.26,76,23,9.22,NI,1602815893
Mīrganj,28.55,79.2,68.0,88,0,2.01,IN,1602815893
Kumul,42.8,93.45,54.32,34,0,5.39,CN,1602815777
Oddur,4.12,43.89,71.01,80,0,6.29,SO,1602815894
Buena Vista,43.42,-83.9,46.0,70,90,10.29,US,1602815894
Monterey,36.25,-121.25,77.0,29,1,3.36,US,1602815894
Margate,51.38,1.39,50.0,76,75,1.01,GB,1602815781
Hermanus,-34.42,19.23,57.99,83,96,7.0,ZA,1602815669
Rikitea,-23.12,-134.97,74.37,76,100,15.55,PF,1602815668
Kloulklubed,7.04,134.26,87.8,70,75,8.05,PW,1602815895
Vestmannaeyjar,63.44,-20.27,47.93,78,100,5.35,IS,1602815731
Mitú,1.2,-70.17,72.93,95,42,1.39,CO,1602815600
São João da Barra,-21.64,-41.05,72.03,85,88,11.21,BR,1602815896
Beringovskiy,63.05,179.32,43.65,89,100,18.81,RU,1602815719
Jieshi,22.81,115.83,82.0,66,48,3.0,CN,1602815685
Butaritari,3.07,172.79,82.6,72,99,11.18,KI,1602815713
Hobart,-42.88,147.33,57.99,43,75,2.24,AU,1602815560
Chokurdakh,70.63,147.92,31.01,99,100,11.43,RU,1602815704
Ilulissat,69.22,-51.1,35.6,69,97,3.36,GL,1602815699
Wexford,52.33,-6.46,46.99,85,82,7.81,IE,1602815897
Padang,-0.95,100.35,84.83,61,90,3.76,ID,1602815700
Mataura,-46.19,168.86,55.99,58,100,15.01,NZ,1602815671
Omsukchan,62.53,155.8,26.37,95,100,4.65,RU,1602815898
Kahului,20.89,-156.47,87.8,48,20,8.05,US,1602815681
Hong Kong,22.29,114.16,82.99,67,76,1.01,HK,1602815677
Gigmoto,13.78,124.39,83.8,75,99,3.78,PH,1602815898
Zdvinsk,54.7,78.66,37.04,86,67,3.69,RU,1602815707
Nikolskoye,59.7,30.79,39.0,86,75,6.71,RU,1602815675
Leh,34.17,77.58,41.77,53,0,3.15,IN,1602815547
Matamoros,25.53,-103.25,86.0,16,5,10.67,MX,1602815767
Buala,-8.14,159.59,86.0,64,47,3.04,SB,1602815899
Olyka,50.72,25.81,45.0,98,98,10.0,UA,1602815900
Pāvugada,14.1,77.27,72.63,76,37,11.83,IN,1602815900
Ponta do Sol,32.67,-17.1,68.0,72,40,6.93,PT,1602815721
Vao,-22.67,167.48,71.58,80,100,17.05,NC,1602815675
Ures,29.43,-110.4,87.01,32,99,1.99,MX,1602815900
Longyearbyen,78.22,15.64,26.6,86,75,11.41,SJ,1602815665
Yar-Sale,66.83,70.83,30.45,92,100,7.78,RU,1602815901
Celestún,20.87,-90.4,78.15,77,0,11.23,MX,1602815901
Tuktoyaktuk,69.45,-133.04,19.4,85,90,16.11,CA,1602815703
Silver City,32.77,-108.28,68.0,16,1,4.7,US,1602815901
Shimoda,34.67,138.95,70.0,63,75,21.92,JP,1602815682
Ekhabi,53.51,142.97,37.33,71,95,21.34,RU,1602815902
Lorengau,-2.02,147.27,84.07,71,100,4.9,PG,1602815726
Cockburn Town,21.46,-71.14,83.32,79,12,16.55,TC,1602815687
Gayny,60.31,54.32,48.04,85,99,11.43,RU,1602815902
Castro,-24.79,-50.01,58.57,94,100,9.82,BR,1602815697
Bulawayo,-20.15,28.58,58.08,83,0,5.23,ZW,1602815903
Mahébourg,-20.41,57.7,69.8,88,40,4.7,MU,1602815680
Brusque,-27.1,-48.92,66.2,77,20,3.36,BR,1602815903
Port Elizabeth,-33.92,25.57,57.2,93,75,3.36,ZA,1602815690
Darhan,49.49,105.92,46.58,49,15,6.85,MN,1602815903
Aizawl,23.73,92.72,80.6,88,40,1.34,IN,1602815904
Severo-Kuril'sk,50.68,156.12,43.52,62,64,26.44,RU,1602815676
Cape Town,-33.93,18.42,61.0,71,100,6.93,ZA,1602815577
Karratha,-20.74,116.85,94.35,19,0,12.24,AU,1602815904
Balikpapan,-1.27,116.83,78.8,94,40,3.36,ID,1602815742
São Filipe,14.9,-24.5,81.1,77,35,11.9,CV,1602815686
Portland,45.52,-122.68,57.99,70,0,3.94,US,1602815525
New Norfolk,-42.78,147.06,57.99,36,81,5.12,AU,1602815672
Hokitika,-42.72,170.97,51.78,66,97,2.64,NZ,1602815905
Fairbanks,64.84,-147.72,21.2,67,75,5.82,US,1602815727
San Jerónimo,-11.95,-75.28,50.09,66,21,2.3,PE,1602815905
Qaanaaq,77.48,-69.36,23.79,82,20,6.46,GL,1602815671
Araouane,18.9,-3.53,91.54,14,0,8.03,ML,1602815906
Naze,28.37,129.48,82.4,65,75,9.17,JP,1602815439
Makat,47.65,53.35,52.65,44,100,10.09,KZ,1602815906
Caravelas,-17.71,-39.25,74.17,89,73,3.02,BR,1602815681
Custódia,-8.09,-37.64,67.62,88,75,7.29,BR,1602815907
Vizinga,61.07,50.1,32.02,98,100,9.71,RU,1602815907
Hasaki,35.73,140.83,61.0,67,75,13.87,JP,1602815695
Husavik,66.04,-17.34,24.8,92,0,3.36,IS,1602815772
Cavalcante,-13.8,-47.46,76.08,35,3,2.15,BR,1602815907
Brodick,55.58,-5.15,44.6,87,40,2.24,GB,1602815908
Bengkulu,-3.8,102.27,84.87,65,54,4.29,ID,1602815511
Neuquén,-38.95,-68.06,69.8,60,0,2.24,AR,1602815908
Dikson,73.51,80.55,31.06,97,93,18.19,RU,1602815691
Gold Coast,-28.0,153.43,82.99,57,0,16.11,AU,1602815908
La Ronge,55.1,-105.28,24.8,53,90,19.46,CA,1602815679
Kushiro,42.98,144.37,53.6,46,20,14.99,JP,1602815909
Auki,-8.77,160.7,85.48,68,30,3.49,SB,1602815736
Homer,59.64,-151.55,46.4,70,20,9.17,US,1602815646
Tuatapere,-46.13,167.68,55.99,58,100,15.01,NZ,1602815689
Bhadrapur,26.54,88.09,83.97,67,0,1.41,NP,1602815910
Vardø,70.37,31.11,37.92,77,100,18.61,NO,1602815682
Mount Gambier,-37.83,140.77,55.4,62,90,14.99,AU,1602815910
Preobrazheniye,42.9,133.91,53.35,45,0,8.99,RU,1602815910
Kisangani,0.52,25.2,69.84,98,100,0.96,CD,1602815910
Faya,18.39,42.45,55.4,20,0,5.08,SA,1602815743
Tiksi,71.69,128.87,23.88,97,95,3.89,RU,1602815741
Januária,-15.48,-44.37,78.96,33,0,2.06,BR,1602815911
Okato,-39.2,173.88,60.01,51,0,7.0,NZ,1602815911
Bethel,41.37,-73.41,62.6,82,20,9.17,US,1602815561
Cherskiy,68.75,161.3,34.7,85,12,3.11,RU,1602815693
Abu Samrah,35.3,37.18,60.03,91,0,5.48,SY,1602815912
Leningradskiy,69.38,178.42,35.73,90,100,16.67,RU,1602815696
Port Alfred,-33.59,26.89,61.23,82,71,6.67,ZA,1602815671
Aksu,41.12,80.26,55.13,36,0,4.09,CN,1602815912
Kendal,54.33,-2.75,46.99,90,34,6.98,GB,1602815913
Narsaq,60.92,-46.05,53.6,37,75,21.92,GL,1602815913
Hithadhoo,-0.6,73.08,82.54,73,97,18.66,MV,1602815675
Hurghada,27.26,33.81,78.8,44,0,9.17,EG,1602815913
Piaçabuçu,-10.41,-36.43,74.14,84,0,8.46,BR,1602815901
Palmer,42.16,-72.33,61.0,82,20,9.17,US,1602815914
Nouadhibou,20.93,-17.03,78.8,57,0,11.41,MR,1602815687
Mulegé,26.88,-111.98,82.85,56,0,3.11,MX,1602815914
Korla,41.76,86.15,53.98,38,0,6.96,CN,1602815914
Saskylakh,71.92,114.08,18.12,96,100,10.96,RU,1602815758
Banda Aceh,5.56,95.32,86.04,61,99,12.91,ID,1602815915
Thompson,55.74,-97.86,26.6,73,90,13.87,CA,1602815683
Arraial do Cabo,-22.97,-42.03,71.19,86,91,14.47,BR,1602815671
Narganá,9.44,-78.59,80.62,75,85,3.13,PA,1602815915
Yuancheng,36.65,107.79,49.3,41,0,10.38,CN,1602815915
Santa Engracia,41.94,-1.32,48.2,75,90,17.22,ES,1602815916
Ikom,5.97,8.71,72.91,97,100,1.28,NG,1602815916
Aykhal,66.0,111.5,12.2,85,0,6.71,RU,1602815916
Florø,61.6,5.03,39.2,93,0,5.82,NO,1602815916
Olafsvik,64.89,-23.71,47.3,75,74,4.32,IS,1602815747
Sémbé,1.65,14.58,69.82,95,97,2.35,CG,1602815917
Salinas,36.68,-121.66,77.0,29,1,3.36,US,1602815513
Skjervøy,70.03,20.97,41.88,79,100,17.9,NO,1602815917
Longview,32.5,-94.74,61.0,72,90,11.41,US,1602815917
Neyshabur,36.21,58.8,46.72,46,0,1.97,IR,1602815917
Bambous Virieux,-20.34,57.76,71.01,88,40,4.7,MU,1602815675
Lüderitz,-26.65,15.16,65.62,44,0,11.03,NA,1602815748
Belmonte,-15.86,-38.88,75.2,83,20,3.36,BR,1602815918
Nāndūra Buzurg,20.83,76.45,78.71,84,59,8.81,IN,1602815918
Hauterive,46.09,3.45,46.4,87,90,9.17,FR,1602815919
Talnakh,69.49,88.4,21.2,92,90,13.42,RU,1602815674
Comodoro Rivadavia,-45.87,-67.5,62.6,45,19,4.7,AR,1602815698
Ostrovnoy,68.05,39.51,34.83,87,100,10.33,RU,1602815744
Grand Gaube,-20.01,57.66,71.01,80,0,3.0,MU,1602815679
Lerwick,60.15,-1.15,46.4,87,96,12.75,GB,1602815920
Sharjah city,25.36,55.4,77.0,42,0,5.82,AE,1602815920
Cidreira,-30.18,-50.21,64.9,82,91,8.5,BR,1602815770
Monticello,45.31,-93.79,39.99,64,1,7.65,US,1602815742
Chui,-33.7,-53.46,57.16,91,100,6.44,UY,1602815688
Yellowknife,62.46,-114.35,26.01,73,75,18.34,CA,1602815586
Brae,60.4,-1.35,46.4,87,100,12.75,GB,1602815921
Lalawigan,11.59,125.47,83.57,71,99,3.62,PH,1602815921
Poronaysk,49.22,143.12,43.0,59,67,16.78,RU,1602815921
Lere,10.39,8.57,70.54,83,31,2.44,NG,1602815921
San Patricio,28.02,-97.52,81.0,83,40,13.87,US,1602815922
Batagay-Alyta,67.8,130.41,15.4,92,43,2.15,RU,1602815922
Srednekolymsk,67.45,153.68,32.2,98,100,7.31,RU,1602815922
Dingle,11.0,122.67,80.67,83,100,6.49,PH,1602815775
Haizhou,34.58,119.13,64.38,62,100,6.17,CN,1602815922
Kashgar,39.45,75.98,53.6,32,75,4.47,CN,1602815779
Maceió,-9.67,-35.74,69.8,94,61,3.36,BR,1602815500
Berezovyy,51.67,135.7,39.94,60,100,13.47,RU,1602815923
Marbella,36.52,-4.89,62.6,36,58,12.75,ES,1602815923
Narodychi,51.2,29.08,48.54,93,100,4.18,UA,1602815923
Luza,60.63,47.25,32.49,95,98,9.57,RU,1602815923
Khatanga,71.97,102.5,3.58,94,39,7.63,RU,1602815691
Oxapampa,-10.58,-75.4,56.82,89,5,3.53,PE,1602815924
Hirara,24.8,125.28,84.2,69,75,14.99,JP,1602815924
Ada,43.42,-116.13,51.8,37,1,3.36,US,1602815924
Baghlan,36.13,68.71,61.93,31,0,2.57,AF,1602815924
Pangnirtung,66.15,-65.71,37.2,78,100,8.63,CA,1602815925
Provideniya,64.38,-173.3,44.6,81,90,29.08,RU,1602815669
Metro,-5.11,105.31,88.09,62,51,8.41,ID,1602815925
Barrow,71.29,-156.79,23.0,85,90,17.22,US,1602815708
Vaini,-21.2,-175.2,78.8,83,75,6.93,TO,1602815686
Bud,39.45,-86.18,46.0,100,1,6.98,US,1602815697
Altay,47.87,88.12,42.82,54,99,3.15,CN,1602815722
Hammerfest,70.66,23.68,35.6,100,75,13.87,NO,1602815926
São José da Coroa Grande,-8.9,-35.15,74.73,80,97,6.53,BR,1602815926
Waingapu,-9.66,120.26,88.2,49,90,9.15,ID,1602815927
Lavrentiya,65.58,-171.0,38.26,91,100,22.55,RU,1602815684
Bhīmunipatnam,17.88,83.43,80.6,100,75,4.7,IN,1602815927
Scarborough,54.28,-0.4,50.0,78,99,1.99,GB,1602815927
Kelo,9.31,15.81,71.96,84,8,5.75,TD,1602815752
Codrington,-38.27,141.97,60.17,67,0,11.07,AU,1602815677
Puerto Ayora,-0.74,-90.35,71.01,88,62,1.99,EC,1602815467
Saint-Philippe,-21.36,55.77,69.8,52,40,6.93,RE,1602815684
Isangel,-19.55,169.27,78.8,88,90,14.92,VU,1602815727
Kirkwall,58.98,-2.96,48.2,87,64,11.41,GB,1602815928
Dārāb,28.75,54.54,58.33,23,0,6.51,IR,1602815928
Hilo,19.73,-155.09,82.4,65,1,13.87,US,1602815553
Pacific Grove,36.62,-121.92,73.4,35,1,1.74,US,1602815699
Sechura,-5.56,-80.82,66.31,77,14,12.08,PE,1602815929
Marsá Maţrūḩ,31.35,27.25,64.4,77,0,3.53,EG,1602815714
Tessalit,20.2,1.01,84.16,14,0,7.9,ML,1602815704
Magán,39.97,-3.93,51.01,65,0,4.83,ES,1602815930
Broome,42.25,-75.83,55.99,87,90,10.29,US,1602815675
Kralendijk,12.15,-68.27,84.2,79,0,11.41,BQ,1602815930
Lingao,19.91,109.69,79.57,83,100,27.09,CN,1602815930
Kismayo,-0.36,42.55,78.24,79,0,14.34,SO,1602815761
College,64.86,-147.8,21.2,67,75,8.05,US,1602815931
Almazar,40.32,69.01,46.4,81,0,4.47,UZ,1602815931
Barcelona,41.39,2.16,53.01,70,20,12.75,ES,1602815699
San Vicente,-26.62,-54.13,62.64,78,61,3.44,AR,1602815931
Pithorāgarh,29.58,80.22,64.29,55,0,2.06,IN,1602815932
Bay Roberts,47.6,-53.26,55.99,1,6,3.13,CA,1602815932
Danshui,22.8,114.47,84.0,93,63,23.0,CN,1602815932
Kaitangata,-46.28,169.85,63.0,38,100,3.0,NZ,1602815677
Praia,14.92,-23.51,78.8,94,40,10.29,CV,1602815932
Klaksvík,62.23,-6.59,42.8,87,85,1.68,FO,1602815697
Pisco,-13.7,-76.22,64.4,82,88,2.24,PE,1602815745
Teluk Nibung,3.0,99.82,85.44,71,99,4.56,ID,1602815933
Vanimo,-2.67,141.3,78.28,89,100,0.81,PG,1602815688
Gorontalo,0.54,123.06,88.52,59,99,5.19,ID,1602815933
Cassilândia,-19.11,-51.73,69.17,90,100,5.75,BR,1602815934
Thinadhoo,0.53,72.93,83.62,74,74,20.07,MV,1602815762
Rapid Valley,44.06,-103.15,37.0,55,1,6.93,US,1602815934
Jumla,29.27,82.18,65.35,37,0,2.24,NP,1602815934
Saldanha,-33.01,17.94,50.0,81,65,3.36,ZA,1602815690
Grindavik,63.84,-22.43,46.4,87,90,6.93,IS,1602815705
Bonthe,7.53,-12.51,77.95,86,94,5.82,SL,1602815776
Chengde,40.97,117.94,54.27,36,0,11.9,CN,1602815935
Aliwal North,-30.69,26.71,54.39,54,0,5.86,ZA,1602815935
Geraldton,-28.77,114.6,73.4,46,49,10.29,AU,1602815676
Concarneau,47.88,-3.92,48.2,93,3,4.7,FR,1602815935
Katsuura,35.13,140.3,63.0,63,75,16.11,JP,1602815702
Srīvardhan,18.03,73.02,80.02,89,89,12.15,IN,1602815936
San Miguel,13.48,-88.18,74.43,92,97,1.48,SV,1602815936
Al Bardīyah,31.76,25.09,71.35,60,77,10.87,LY,1602815937
Moose Factory,51.26,-80.61,33.8,96,90,13.87,CA,1602815937
Hambantota,6.12,81.12,82.4,83,20,5.82,LK,1602815757
York,40.13,-77.0,66.2,72,90,3.36,US,1602815937
Noumea,-22.28,166.46,77.0,94,100,8.05,NC,1602815684
Petropavl,54.88,69.16,45.05,58,93,11.95,KZ,1602815938
Porto Belo,-27.16,-48.55,66.2,77,20,3.36,BR,1602815851
Carauari,-4.88,-66.9,73.36,97,32,0.89,BR,1602815730
Dungarvan,52.09,-7.63,46.99,85,3,6.62,IE,1602815804
Poyarkovo,49.6,128.68,45.07,51,0,11.95,RU,1602815939
Cabedelo,-6.98,-34.83,75.2,88,5,4.7,BR,1602815939
Esperance,-33.87,121.9,62.6,77,75,10.29,AU,1602815678
Huilong,31.81,121.66,64.0,86,100,10.02,CN,1602815939
Passos,-20.72,-46.61,66.85,89,68,3.53,BR,1602815939
Gizo Government Station,-8.1,156.84,83.79,70,64,3.69,SB,1602815775
Haines Junction,60.75,-137.51,32.16,94,81,1.97,CA,1602815940
Sioux Lookout,50.1,-91.92,32.0,89,75,11.41,CA,1602815940
Vaskút,46.11,18.99,48.81,95,73,5.77,HU,1602815940
Curaçá,-8.99,-39.91,74.03,69,0,14.45,BR,1602815940
Šibenik,43.73,15.91,57.2,67,4,6.93,HR,1602815941
Coracora,-15.03,-73.78,49.87,67,100,4.81,PE,1602815941
Hamilton,39.18,-84.53,48.99,81,90,9.17,US,1602815661
Touros,-5.2,-35.46,77.0,83,40,6.93,BR,1602815551
Nanortalik,60.14,-45.24,39.92,71,100,3.69,GL,1602815783
Phalodi,27.13,72.37,85.1,15,0,12.26,IN,1602815942
Oodweyne,9.41,45.06,70.18,59,3,1.63,SO,1602815942
