City,Lat,Lng,Max Temp,Humidity,Clouds,Wind Speed,Country,Date
Kruisfontein,-34.0,24.73,55.0,95,95,1.01,ZA,1602815691
Seoul,37.57,126.98,57.2,58,90,3.36,KR,1602815592
Airai,-8.93,125.41,81.54,34,99,3.22,TL,1602815742
Kapit,2.02,112.93,90.18,57,100,2.42,MY,1602815943
Along,28.17,94.77,81.61,60,6,0.47,IN,1602815943
Wattegama,6.8,81.48,82.4,83,20,5.82,LK,1602815943
Governador Valadares,-18.85,-41.95,73.26,86,100,0.78,BR,1602815943
Kualakapuas,-3.01,114.39,84.2,74,40,6.93,ID,1602815943
Santa Cruz de La Palma,28.68,-17.76,73.4,73,90,4.7,ES,1602815943
Kalmunai,7.42,81.82,84.42,62,96,3.13,LK,1602815476
Álamos,27.02,-108.93,87.01,59,0,8.01,MX,1602815944
Torbay,47.67,-52.73,57.0,100,90,6.93,CA,1602815680
Jacareacanga,-6.22,-57.75,75.65,72,2,0.78,BR,1602815760
Panguna,-6.32,155.48,76.17,88,94,1.43,PG,1602815944
Cairns,-16.92,145.77,82.0,61,40,10.29,AU,1602815945
Clyde,41.3,-82.98,48.0,86,100,9.37,US,1602815945
Colac,-38.33,143.58,59.0,70,0,4.0,AU,1602815945
Gannan,47.91,123.5,45.14,53,0,8.46,CN,1602815945
Upernavik,72.79,-56.15,29.19,86,88,4.56,GL,1602815729
Panna,24.72,80.2,83.16,66,0,8.3,IN,1602815946
Chicama,-7.84,-79.15,63.52,80,34,4.85,PE,1602815711
Mwense,-10.38,28.7,70.47,65,0,5.84,ZM,1602815946
Ayagoz,47.97,80.44,50.07,45,0,2.19,KZ,1602815946
Soleşti,46.77,27.78,54.0,100,0,6.93,RO,1602815946
Huanan,46.22,130.52,47.57,49,21,6.42,CN,1602815947
Sitka,57.05,-135.33,48.2,61,90,6.93,US,1602815776
Saint-Augustin,51.23,-58.65,44.38,88,32,8.84,CA,1602815720
Olinda,-8.01,-34.86,78.8,74,40,8.05,BR,1602815416
Faanui,-16.48,-151.75,79.61,77,25,8.3,PF,1602815673
Sørland,67.67,12.69,45.1,82,99,13.02,NO,1602815948
Bichura,50.59,107.6,43.9,57,85,3.98,RU,1602815948
Udachny,66.42,112.4,12.2,85,100,6.71,RU,1602815948
Wanlaweyn,2.62,44.89,75.9,86,31,9.08,SO,1602815949
Plungė,55.91,21.84,42.01,93,81,6.93,LT,1602815949
Weil im Schönbuch,48.62,9.06,46.4,93,75,9.17,DE,1602815949
Kieta,-6.22,155.63,83.59,70,90,3.69,PG,1602815949
Nuuk,64.18,-51.72,39.2,69,100,13.87,GL,1602815949
Paragominas,-2.97,-47.48,73.6,88,0,3.6,BR,1602815950
Khasan,42.43,130.64,55.78,51,1,10.11,RU,1602815950
Mutsu,41.29,141.22,60.01,47,40,12.75,JP,1602815950
Pochutla,15.74,-96.47,79.0,84,100,3.18,MX,1602815732
Mumbai,19.01,72.85,80.6,88,40,9.37,IN,1602815729
Hay River,60.82,-115.8,26.6,53,75,19.46,CA,1602815950
Russell,32.35,-85.2,71.6,93,1,2.21,US,1602815951
Saint George,37.1,-113.58,73.4,13,1,28.86,US,1602815479
Madang,-5.22,145.8,84.27,66,99,7.05,PG,1602815951
Tamandaré,-8.76,-35.1,74.66,81,98,5.97,BR,1602815710
Kununurra,-15.77,128.73,93.2,41,0,6.93,AU,1602815723
Tautira,-17.73,-149.15,78.8,74,75,16.11,PF,1602815952
Doha,25.29,51.53,80.6,61,0,3.36,QA,1602815707
Soyo,-6.13,12.37,75.52,82,100,4.23,AO,1602815952
Chumikan,54.72,135.31,38.17,69,99,20.38,RU,1602815952
Severnyy,50.68,36.55,51.8,71,100,6.71,RU,1602815679
Bismarck,46.81,-100.78,39.2,60,20,12.75,US,1602815401
Coquimbo,-29.95,-71.34,55.4,87,91,3.36,CL,1602815722
Guerrero Negro,27.98,-114.06,77.45,67,5,14.34,MX,1602815953
Amapá,1.0,-52.0,71.78,91,0,2.64,BR,1602815712
Porto Santo,33.07,-16.34,66.2,72,20,8.05,PT,1602815953
Ishigaki,24.34,124.16,84.2,74,75,16.11,JP,1602815889
Afonino,56.26,44.09,50.0,66,20,6.71,RU,1602815954
Shingū,33.73,135.98,69.8,52,75,4.7,JP,1602815954
Lompoc,34.64,-120.46,70.0,64,1,4.7,US,1602815769
Berlevåg,70.86,29.09,35.87,85,100,16.17,NO,1602815759
Tabou,4.42,-7.35,76.59,90,52,7.61,CI,1602815954
Pevek,69.7,170.31,36.73,85,100,15.01,RU,1602815692
Duku,11.24,4.91,76.03,76,3,3.36,NG,1602815955
Lagoa,39.05,-27.98,67.93,86,85,13.02,PT,1602815722
Vargem Grande,-3.54,-43.92,76.51,85,4,4.03,BR,1602815955
Ahipara,-35.17,173.17,56.73,72,54,5.5,NZ,1602815705
Bilibino,68.05,166.44,30.13,94,100,3.31,RU,1602815528
Port Lincoln,-34.73,135.87,59.56,79,100,6.69,AU,1602815736
La Macarena,2.18,-73.78,72.05,95,99,0.83,CO,1602815956
Bolgatanga,10.79,-0.85,77.47,81,0,4.25,GH,1602815956
San Rafael del Sur,11.85,-86.44,77.0,83,20,4.7,NI,1602815956
Gouré,13.98,10.27,82.0,51,2,3.47,NE,1602815714
Praia da Vitória,38.73,-27.07,68.0,100,75,4.59,PT,1602815726
Kupang,-10.17,123.58,89.6,59,20,8.05,ID,1602815957
Chara,56.91,118.26,30.65,90,100,3.18,RU,1602815957
Port Blair,11.67,92.75,82.26,79,100,11.14,IN,1602815740
Alta Floresta,-9.88,-56.09,79.56,53,57,3.02,BR,1602815701
Nālūt,30.33,10.85,71.15,22,18,7.09,LY,1602815958
Yermakovskoye,53.28,92.4,43.25,89,100,11.86,RU,1602815958
Newport,51.59,-3.0,48.0,94,4,10.25,GB,1602815958
Eureka,40.8,-124.16,66.0,79,0,1.01,US,1602815958
Amoy,24.48,118.08,77.0,65,75,6.71,CN,1602815958
Paysandu,-32.32,-58.08,61.97,86,100,8.41,UY,1602815846
Inverell,-29.78,151.12,84.99,35,1,4.0,AU,1602815959
Iquitos,-3.75,-73.25,74.17,94,100,1.99,PE,1602815664
Koróni,36.8,21.95,66.99,100,20,10.87,GR,1602815959
Inírida,3.87,-67.92,75.72,86,51,1.86,CO,1602815713
Lithakia,37.72,20.83,73.4,83,40,18.34,GR,1602815960
Asahikawa,43.77,142.37,48.2,45,75,8.05,JP,1602815960
Yashkul',46.17,45.34,55.17,82,5,4.79,RU,1602815960
Souillac,-20.52,57.52,69.8,88,40,4.7,MU,1602815721
Rio Grande,-32.03,-52.1,61.12,92,0,10.4,BR,1602815720
Burnie,-41.07,145.92,55.99,40,83,8.99,AU,1602815960
Paamiut,61.99,-49.67,39.2,74,100,18.32,GL,1602815767
Oranjemund,-28.55,16.43,59.54,75,0,5.91,NA,1602815961
Henties Bay,-22.12,14.28,57.99,94,63,2.28,NA,1602815746
Mongu,-15.25,23.13,71.44,50,9,5.39,ZM,1602815961
Oistins,13.07,-59.53,82.4,74,40,16.11,BB,1602815961
Moorhead,46.87,-96.77,42.8,38,90,12.75,US,1602815962
Malbork,54.04,19.03,46.99,100,76,5.08,PL,1602815962
Dalby,-27.18,151.27,80.6,26,0,10.29,AU,1602815705
Port Hardy,50.7,-127.42,48.2,93,90,19.46,CA,1602815753
Marathon,44.9,-89.77,37.4,51,90,4.7,US,1602815962
Laguna,38.42,-121.42,79.0,33,1,4.05,US,1602815963
Flinders,-34.58,150.86,64.99,72,90,8.05,AU,1602815743
Kuusamo,65.97,29.18,32.0,90,90,11.41,FI,1602815963
Mount Isa,-20.73,139.5,89.6,21,0,11.41,AU,1602815730
Apateu,46.62,21.78,55.0,93,34,3.36,RO,1602815963
Taoudenni,22.68,-3.98,85.14,14,0,11.45,ML,1602815733
Yugorsk,61.31,63.33,40.12,91,100,11.92,RU,1602815964
Arman',59.7,150.17,34.12,77,10,7.07,RU,1602815964
Tefé,-3.35,-64.71,73.8,94,23,1.48,BR,1602815964
Srandakan,-7.94,110.25,82.89,70,76,10.07,ID,1602815964
The Valley,18.22,-63.06,82.4,78,40,12.75,AI,1602815812
Bat Khela,34.62,71.97,72.28,25,0,4.81,PK,1602815965
Dakar,14.69,-17.44,78.8,94,20,4.7,SN,1602815965
Prince Rupert,54.32,-130.32,46.4,93,90,5.82,CA,1602815744
Khovu-Aksy,51.13,93.6,38.41,72,100,4.25,RU,1602815965
Pimenta Bueno,-11.67,-61.19,72.3,96,100,3.4,BR,1602815966
Mpraeso,6.59,-0.73,69.64,100,86,2.82,GH,1602815966
Iztapa,13.93,-90.71,66.99,88,100,1.99,GT,1602815966
Jalgaon,21.02,75.57,79.56,81,4,11.23,IN,1602815966
Saint Anthony,45.02,-93.22,42.8,52,1,4.7,US,1602815879
Gravdal,68.12,13.5,44.71,79,100,12.77,NO,1602815967
Rawson,-43.3,-65.1,69.39,41,57,21.07,AR,1602815967
Lukulu,-14.37,23.24,69.21,59,22,4.9,ZM,1602815967
Whitehorse,60.72,-135.05,37.99,74,75,11.41,CA,1602815490
Kasongo-Lunda,-6.47,16.82,70.47,91,100,0.56,CD,1602815967
Indianola,41.36,-93.56,44.6,36,1,4.7,US,1602815967
Vikulovo,56.82,70.61,40.98,91,95,14.23,RU,1602815968
Paraíso,9.84,-83.87,69.8,94,70,3.36,CR,1602815968
Yumen,40.28,97.2,46.36,45,0,4.72,CN,1602815720
Umluj,25.02,37.27,85.14,36,0,11.01,SA,1602815566
Mukhen,48.1,136.1,42.64,59,0,10.78,RU,1602815968
Ouadda,8.08,22.4,67.75,92,89,4.54,CF,1602815969
Durango,24.83,-104.83,60.35,38,36,4.14,MX,1602815758
Lensk,60.73,114.93,30.65,92,100,12.82,RU,1602815969
Antibes,43.56,7.13,54.0,76,20,4.7,FR,1602815732
Asău,46.43,26.4,48.99,85,59,4.52,RO,1602815969
Sistranda,63.73,8.83,46.4,93,75,12.75,NO,1602815970
Rodrigues Alves,-7.74,-72.65,74.05,77,18,2.08,BR,1602815970
Mpanda,-6.37,31.04,68.65,64,23,4.05,TZ,1602815970
Kirov,58.6,49.66,46.51,84,98,15.08,RU,1602815715
Santa Rosa,14.31,121.11,89.01,74,40,10.29,PH,1602815970
Vágur,61.47,-6.81,47.23,78,100,7.36,FO,1602815971
Acaraú,-2.89,-40.12,79.29,83,22,15.03,BR,1602815711
Fortuna,40.6,-124.16,57.99,71,1,5.82,US,1602815686
Khovd,48.01,91.64,43.0,42,96,3.65,MN,1602815971
Cancún,21.17,-86.85,82.4,83,20,4.7,MX,1602815896
Layou,13.2,-61.27,84.2,74,40,17.22,VC,1602815972
São Paulo de Olivença,-3.38,-68.87,73.81,96,92,3.06,BR,1602815735
Kulachi,31.93,70.46,81.99,18,0,5.06,PK,1602815972
Khāsh,28.22,61.22,52.47,35,0,7.05,IR,1602815972
Epe,6.58,3.98,75.04,94,76,4.23,NG,1602815689
Coari,-4.08,-63.14,73.78,95,100,2.06,BR,1602815973
Aripuanã,-9.17,-60.63,77.13,71,58,1.01,BR,1602815973
Malanje,-9.54,16.34,64.33,94,100,1.92,AO,1602815711
Oranjestad,12.52,-70.03,84.2,74,20,12.75,AW,1602815974
Maridi,4.92,29.47,68.4,91,100,1.88,SS,1602815974
Kichera,55.94,110.1,38.37,83,100,13.76,RU,1602815974
Oyem,1.6,11.58,67.33,100,100,2.86,GA,1602815974
Riyadh,24.69,46.72,60.8,29,0,3.36,SA,1602815961
Whitecourt,54.15,-115.69,33.8,69,20,10.29,CA,1602815974
Maragogi,-9.01,-35.22,74.32,81,98,6.6,BR,1602815839
Snezhnogorsk,69.19,33.25,35.6,93,75,11.18,RU,1602815975
Hobyo,5.35,48.53,79.27,81,30,13.67,SO,1602815694
Puerto del Rosario,28.5,-13.86,71.6,73,75,16.11,ES,1602815975
Jālaun,26.15,79.34,85.93,46,0,6.51,IN,1602815975
Ryōtsu-minato,38.08,138.43,62.6,59,20,4.7,JP,1602815976
Port Macquarie,-31.43,152.92,80.01,54,100,5.01,AU,1602815976
Muros,42.78,-9.06,46.99,89,25,1.99,ES,1602815747
Kilindoni,-7.91,39.67,78.12,79,9,11.23,TZ,1602815976
Sobolevo,54.43,31.9,45.48,90,95,1.39,RU,1602815976
Peñarroya-Pueblonuevo,38.3,-5.27,50.0,66,0,1.12,ES,1602815977
Zabid,14.2,43.32,83.52,69,1,4.14,YE,1602815977
Alappuzha,9.49,76.33,80.76,81,19,11.39,IN,1602815977
Makīnsk,52.63,70.42,42.96,61,0,8.3,KZ,1602815977
Carmo do Paranaíba,-19.0,-46.32,71.01,24,95,5.97,BR,1602815977
Te Anau,-45.42,167.72,46.56,84,100,11.05,NZ,1602815767
Manggar,-2.88,108.27,83.52,72,100,8.61,ID,1602815761
Zeya,53.75,127.27,34.95,79,29,4.43,RU,1602815978
Jalu,29.03,21.55,74.62,37,0,10.96,LY,1602815778
Ust-Kuyga,70.02,135.6,16.05,95,92,4.61,RU,1602815706
Mahajanga,-15.72,46.32,73.4,73,20,5.82,MG,1602815979
Aklavik,68.22,-135.01,19.4,85,90,6.93,CA,1602815723
Kade,52.38,12.27,48.99,81,86,1.99,DE,1602815979
Andenes,69.31,16.12,42.8,93,75,13.87,NO,1602815979
Nador,35.17,-2.93,64.4,68,81,3.36,MA,1602815693
Vila Velha,-20.33,-40.29,75.99,73,100,11.41,BR,1602815679
Kirakira,-10.45,161.92,82.89,77,28,7.56,SB,1602815699
Brattleboro,42.85,-72.56,57.2,76,20,4.7,US,1602815980
Emerald,-23.53,148.17,82.4,37,40,12.75,AU,1602815765
Santa Maria,-29.68,-53.81,59.76,87,3,11.77,BR,1602815980
Constitución,-35.33,-72.42,56.57,82,0,5.79,CL,1602815709
Miandrivazo,-19.52,45.47,80.11,65,86,4.63,MG,1602815981
Zhigalovo,54.81,105.16,38.26,81,99,16.8,RU,1602815981
Uglovskoye,51.36,80.19,46.72,58,59,4.5,RU,1602815981
Half Moon Bay,37.46,-122.43,86.0,20,1,11.41,US,1602815981
Huarmey,-10.07,-78.15,63.18,83,73,6.26,PE,1602815680
Broken Hill,-31.95,141.43,86.0,16,40,13.87,AU,1602815982
Rafaela,-31.25,-61.49,71.01,69,0,5.32,AR,1602815982
Baní,18.28,-70.33,78.01,87,23,3.0,DO,1602815982
Batemans Bay,-35.72,150.18,64.0,59,99,1.99,AU,1602815982
Tagusao,9.19,117.81,78.3,88,100,13.87,PH,1602815982
Zhengjiatun,43.51,123.51,51.73,41,0,10.13,CN,1602815983
Traralgon,-38.18,146.53,60.01,66,4,8.01,AU,1602815983
Port Hedland,-20.32,118.57,102.2,10,0,8.05,AU,1602815983
Arrondissement de Reims,49.17,4.08,48.2,87,90,8.05,FR,1602815983
Rockport,28.02,-97.05,81.0,88,1,11.41,US,1602815930
San Cristobal,7.77,-72.22,65.48,87,27,2.57,VE,1602815779
Porto-Novo,6.5,2.6,78.8,88,40,8.05,BJ,1602815984
Pergamino,-33.89,-60.57,59.76,89,30,11.14,AR,1602815911
Bayan,46.08,127.4,48.0,46,5,12.01,CN,1602815909
Vila,42.03,-8.16,42.01,91,26,1.99,PT,1602815984
Atbasar,51.8,68.33,45.95,51,32,8.46,KZ,1602815984
Bonavista,48.65,-53.11,54.0,77,0,8.01,CA,1602815712
Shenjiamen,29.96,122.3,63.82,87,100,11.14,CN,1602815985
Mandera,3.94,41.87,78.42,62,0,10.2,KE,1602815985
Kelowna,49.88,-119.49,50.0,66,90,6.93,CA,1602815726
Hualmay,-11.1,-77.61,62.74,82,33,7.7,PE,1602815985
Bac Lieu,9.29,105.72,83.21,78,100,16.82,VN,1602815986
Houma,29.6,-90.72,75.2,83,1,3.04,US,1602815986
Boyolangu,-8.12,111.89,83.82,64,48,9.24,ID,1602815986
Vieques,18.43,-65.83,82.4,88,20,3.36,PR,1602815986
Taltal,-25.4,-70.48,58.15,73,43,2.59,CL,1602815986
Cabo San Lucas,22.89,-109.91,84.0,74,5,11.41,MX,1602815413
Wajima,37.4,136.9,64.4,55,40,6.93,JP,1602815987
Methóni,36.82,21.7,66.99,100,20,15.3,GR,1602815987
Batagay,67.63,134.63,16.97,91,42,1.43,RU,1602815987
Flin Flon,54.77,-101.86,23.38,87,92,13.04,CA,1602815987
Mmabatho,-25.85,25.63,59.0,72,0,3.36,ZA,1602815972
Quang Ngai,15.12,108.8,76.57,94,100,5.97,VN,1602815988
Parabel',58.7,81.48,32.04,93,32,7.52,RU,1602815988
Talara,-4.58,-81.27,64.49,88,53,13.51,PE,1602815988
Outram,1.28,103.84,86.0,66,75,6.93,MY,1602815988
Tura,25.52,90.22,84.04,69,0,1.83,IN,1602815526
Yashan,22.2,109.94,78.73,74,78,14.03,CN,1602815989
Bandarbeyla,9.49,50.81,79.43,78,0,14.16,SO,1602815722
Samarai,-10.62,150.67,79.95,80,9,12.21,PG,1602815771
Zemio,5.03,25.14,69.03,95,100,0.6,CF,1602815989
Karatuzskoye,53.61,92.87,42.15,92,100,7.16,RU,1602815989
Kamyshlov,56.84,62.71,45.84,62,100,12.93,RU,1602815990
Rio Brilhante,-21.8,-54.55,70.0,95,100,1.16,BR,1602815990
The Pas,53.83,-101.25,24.8,79,75,13.87,CA,1602815990
Norman Wells,65.28,-126.83,15.8,78,20,5.82,CA,1602815695
Ancud,-41.87,-73.82,46.99,87,15,3.36,CL,1602815561
Zlobin,45.29,14.65,53.01,76,75,5.82,HR,1602815990
Cap Malheureux,-19.98,57.61,72.0,81,1,1.99,MU,1602815991
Hofn,64.25,-15.21,45.1,78,18,1.39,IS,1602815692
Adré,13.47,22.2,75.42,25,11,8.68,TD,1602815991
Winneba,5.35,-0.62,77.0,94,20,8.05,GH,1602815991
Quatre Cocos,-20.21,57.76,71.01,88,40,4.7,MU,1602815772
Bela Vista,-22.11,-56.52,68.0,96,1,1.92,BR,1602815992
Bilma,18.69,12.92,80.85,19,0,2.71,NE,1602815992
Hereford,52.06,-2.71,45.0,92,53,4.68,GB,1602815992
Viedma,-40.81,-63.0,60.01,62,0,1.99,AR,1602815992
Adolfo López Mateos,28.47,-107.3,57.11,37,98,5.95,MX,1602815868
Oktyabr'skiy,54.48,53.47,49.91,70,32,11.59,RU,1602815992
Livingston,55.9,-3.52,46.4,81,90,1.12,GB,1602815993
Proletarsk,46.7,41.72,56.01,66,100,1.14,RU,1602815993
Karasjok,69.47,25.51,35.6,92,100,18.34,NO,1602815993
Hastings,50.86,0.57,48.2,93,85,11.41,GB,1602815993
Sayhāt,26.49,50.04,71.6,83,0,8.05,SA,1602815994
Léo,11.1,-2.1,74.03,88,7,4.99,BF,1602815994
Qandala,11.47,49.87,81.12,56,3,1.34,SO,1602815994
Saint-Pierre,-21.34,55.48,69.8,52,40,6.93,RE,1602815994
Kostino,58.91,53.27,48.7,72,100,14.16,RU,1602815994
Atar,20.52,-13.05,86.85,23,42,7.38,MR,1602815734
Treinta y Tres,-33.23,-54.38,54.5,96,3,6.78,UY,1602815919
Adrar,20.5,-10.07,86.23,14,7,9.6,MR,1602815707
Itarema,-2.92,-39.92,80.01,80,32,15.77,BR,1602815768
Letka,59.6,49.42,41.83,88,100,11.68,RU,1602815995
Belaya Gora,68.53,146.42,25.02,98,100,15.28,RU,1602815768
Sinop Province,41.77,34.87,59.99,65,0,6.4,TR,1602815996
Mossamedes,-15.2,12.15,69.19,77,68,7.52,AO,1602815673
Rocha,-34.48,-54.33,55.47,95,100,5.57,UY,1602815732
Yangi Marg`ilon,40.43,71.72,50.0,71,0,6.93,UZ,1602815673
Ketchikan,55.34,-131.65,44.6,100,90,13.87,US,1602815713
Niimi,34.98,133.47,71.01,52,20,3.36,JP,1602815997
Miraflores,19.22,-98.81,69.8,40,20,13.87,MX,1602815997
Ambilobe,-13.2,49.05,70.92,76,36,3.94,MG,1602815717
